Coffee_Machine,Entertainment,Fridge,Kettle,Lamp,Laptop,Power,Router
0,0,1,0,0,0,119.84299999999999,1
0,0,1,0,0,0,120.191,1
0,0,1,0,0,0,120.185,1
0,0,1,0,0,0,119.755,1
0,0,1,0,0,0,120.26899999999999,1
0,0,1,0,0,0,121.15799999999999,1
0,0,1,0,0,0,120.552,1
0,0,1,0,0,0,120.71,1
0,0,1,0,0,0,120.146,1
0,0,1,0,0,0,120.13600000000001,1
0,0,1,0,0,0,120.0,1
0,0,1,0,0,0,120.111,1
0,0,1,0,0,0,119.492,1
0,0,1,0,0,0,119.96799999999999,1
0,0,1,0,0,0,120.346,1
0,0,1,0,0,0,120.682,1
0,0,1,0,0,0,119.62299999999999,1
0,0,1,0,0,0,120.051,1
0,0,1,0,0,0,120.241,1
0,0,1,0,0,0,120.241,1
0,0,1,0,0,0,120.71600000000001,1
0,0,1,0,0,0,120.729,1
0,0,1,0,0,0,121.322,1
0,0,1,0,0,0,121.961,1
0,0,1,0,0,0,123.134,1
0,0,1,0,0,0,122.389,1
0,0,1,0,0,0,123.12899999999999,1
0,0,1,0,0,0,122.882,1
0,0,1,0,0,0,123.32,1
0,0,1,0,0,0,123.70100000000001,1
0,0,1,0,0,0,123.383,1
0,0,1,0,0,0,123.20299999999999,1
0,0,1,0,0,0,124.079,1
0,0,1,0,0,0,124.31,1
0,0,1,0,0,0,124.773,1
0,0,1,0,0,0,125.485,1
0,0,1,0,0,0,125.039,1
0,0,1,0,0,0,125.083,1
0,0,1,0,0,0,125.23299999999999,1
0,0,1,0,0,0,125.493,1
0,0,1,0,0,0,125.618,1
0,0,1,0,0,0,125.81200000000001,1
0,0,1,0,0,0,125.934,1
0,0,1,0,0,0,126.175,1
0,0,1,0,0,0,126.75299999999999,1
0,0,1,0,0,0,126.681,1
0,0,1,0,0,0,125.86399999999999,1
0,0,1,0,0,0,125.926,1
0,0,1,0,0,0,125.73100000000001,1
0,0,1,0,0,0,126.09899999999999,1
0,0,1,0,0,0,126.133,1
0,0,1,0,0,0,126.323,1
0,0,1,0,0,0,125.714,1
0,0,1,0,0,0,125.773,1
0,0,1,0,0,0,125.973,1
0,0,1,0,0,0,127.15899999999999,1
0,0,1,0,0,0,126.277,1
0,0,1,0,0,0,125.819,1
0,0,1,0,0,0,126.286,1
0,0,1,0,0,0,126.037,1
0,0,1,0,0,0,125.99600000000001,1
0,0,1,0,0,0,125.905,1
0,0,1,0,0,0,126.155,1
0,0,1,0,0,0,126.056,1
0,0,1,0,0,0,125.979,1
0,0,1,0,0,0,127.52,1
0,0,1,0,0,0,126.554,1
0,0,1,0,0,0,125.685,1
0,0,1,0,0,0,126.124,1
0,0,1,0,0,0,125.95700000000001,1
0,0,1,0,0,0,125.90299999999999,1
0,0,1,0,0,0,125.602,1
0,0,1,0,0,0,125.8,1
0,0,1,0,0,0,125.7,1
0,0,1,0,0,0,126.30799999999999,1
0,0,1,0,0,0,126.47399999999999,1
0,0,1,0,0,0,126.17,1
0,0,1,0,0,0,125.449,1
0,0,1,0,0,0,125.82799999999999,1
0,0,1,0,0,0,125.265,1
0,0,1,0,0,0,126.19,1
0,0,1,0,0,0,125.868,1
0,0,1,0,0,0,125.50200000000001,1
0,0,1,0,0,0,124.975,1
0,0,1,0,0,0,125.275,1
0,0,1,0,0,0,126.573,1
0,0,1,0,0,0,125.693,1
0,0,1,0,0,0,125.339,1
0,0,1,0,0,0,125.311,1
0,0,1,0,0,0,125.28399999999999,1
0,0,1,0,0,0,125.206,1
0,0,1,0,0,0,124.929,1
0,0,1,0,0,0,125.26100000000001,1
0,0,1,0,0,0,125.146,1
0,0,1,0,0,0,125.87299999999999,1
0,0,1,0,0,0,125.902,1
0,0,1,0,0,0,124.92299999999999,1
0,0,1,0,0,0,125.07,1
0,0,1,0,0,0,124.76299999999999,1
0,0,1,0,0,0,125.213,1
0,0,1,0,0,0,125.234,1
0,0,1,0,0,0,124.92399999999999,1
0,0,1,0,0,0,124.964,1
0,0,1,0,0,0,124.64,1
0,0,1,0,0,0,125.039,1
0,0,1,0,0,0,125.99600000000001,1
0,0,1,0,0,0,125.43700000000001,1
0,0,1,0,0,0,124.61,1
0,0,1,0,0,0,124.76299999999999,1
0,0,1,0,0,0,124.76700000000001,1
0,0,1,0,0,0,124.209,1
0,0,1,0,0,0,124.889,1
0,0,1,0,0,0,124.601,1
0,0,1,0,0,0,124.611,1
0,0,1,0,0,0,124.52600000000001,1
0,0,1,0,0,0,125.177,1
0,0,1,0,0,0,123.73899999999999,1
0,0,1,0,0,0,123.90700000000001,1
0,0,1,0,0,0,123.67,1
0,0,1,0,0,0,123.785,1
0,0,1,0,0,0,124.103,1
0,0,1,0,0,0,124.096,1
0,0,1,0,0,0,123.705,1
0,0,1,0,0,0,123.50399999999999,1
0,0,1,0,0,0,124.17399999999999,1
0,0,1,0,0,0,124.545,1
0,0,1,0,0,0,123.51299999999999,1
0,0,1,0,0,0,123.50299999999999,1
0,0,1,0,0,0,123.854,1
0,0,1,0,0,0,123.52600000000001,1
0,0,1,0,0,0,123.509,1
0,0,1,0,0,0,123.706,1
0,0,1,0,0,0,123.19,1
0,0,1,0,0,0,123.3,1
0,0,1,0,0,0,124.439,1
0,0,1,0,0,0,123.655,1
0,0,1,0,0,0,110.82,1
0,0,0,0,0,0,70.738,1
0,0,0,0,0,0,70.586,1
0,0,0,0,0,0,70.633,1
0,0,0,0,0,0,70.855,1
0,0,0,0,0,0,70.68,1
0,0,0,0,0,0,70.771,1
0,0,0,0,0,0,70.972,1
0,0,0,0,0,0,70.828,1
0,0,0,0,0,0,71.834,1
0,0,0,0,0,0,70.79899999999999,1
0,0,0,0,0,0,70.709,1
0,0,0,0,0,0,70.908,1
0,0,0,0,0,0,70.908,1
0,0,0,0,0,0,70.92399999999999,1
0,0,0,0,0,0,70.868,1
0,0,0,0,0,0,70.811,1
0,0,0,0,0,0,70.884,1
0,0,0,0,0,0,71.453,1
0,0,0,0,0,0,71.303,1
0,0,0,0,0,0,70.687,1
0,0,0,0,0,0,70.459,1
0,0,0,0,0,0,70.673,1
0,0,0,0,0,0,70.609,1
0,0,0,0,0,0,70.86399999999999,1
0,0,0,0,0,0,70.76,1
0,0,0,0,0,0,70.932,1
0,0,0,0,0,0,70.56,1
0,0,0,0,0,0,71.89699999999999,1
0,0,0,0,0,0,70.57,1
0,0,0,0,0,0,70.744,1
